Section,Index,X_mm,Y_mm,Z_mm,FHNode_InternalName,Label,SegWidth_mm,SegHeight_mm
Section-1,1,24.375,0.0,0.0,FHNode,Section-1_Node_1,0.25,0.035
Section-1,2,24.18500189,3.11831069,0.0,FHNode001,Section-1_Node_2,0.25,0.035
Section-1,3,23.597553,6.18800711,0.0,FHNode002,Section-1_Node_3,0.25,0.035
Section-1,4,22.62197096,9.15862101,0.0,FHNode003,Section-1_Node_4,0.25,0.035
Section-1,5,21.27395744,11.98126962,0.0,FHNode004,Section-1_Node_5,0.25,0.035
Section-1,6,19.57534548,14.60946002,0.0,FHNode005,Section-1_Node_6,0.25,0.035
Section-1,7,17.55374598,16.99985498,0.0,FHNode006,Section-1_Node_7,0.25,0.035
Section-1,8,15.24209891,19.11298749,0.0,FHNode007,Section-1_Node_8,0.25,0.035
Section-1,9,12.67813661,20.91391242,0.0,FHNode008,Section-1_Node_9,0.25,0.035
Section-1,10,9.90376797,22.37278436,0.0,FHNode009,Section-1_Node_10,0.25,0.035
Section-1,11,6.96439335,23.46535217,0.0,FHNode010,Section-1_Node_11,0.25,0.035
Section-1,12,3.90816172,24.17336209,0.0,FHNode011,Section-1_Node_12,0.25,0.035
Section-1,13,0.78518189,24.48486259,0.0,FHNode012,Section-1_Node_13,0.25,0.035
Section-1,14,-2.353299,24.39440596,0.0,FHNode013,Section-1_Node_14,0.25,0.035
Section-1,15,-5.45573647,23.90314328,0.0,FHNode014,Section-1_Node_15,0.25,0.035
Section-1,16,-8.4711352,23.01881091,0.0,FHNode015,Section-1_Node_16,0.25,0.035
Section-1,17,-11.34988728,21.755609,0.0,FHNode016,Section-1_Node_17,0.25,0.035
Section-1,18,-14.04458832,20.13397348,0.0,FHNode017,Section-1_Node_18,0.25,0.035
Section-1,19,-16.51081804,18.18024561,0.0,FHNode018,Section-1_Node_19,0.25,0.035
Section-1,20,-18.70787251,15.92624407,0.0,FHNode019,Section-1_Node_20,0.25,0.035
Section-1,21,-20.59943595,13.40874687,0.0,FHNode020,Section-1_Node_21,0.25,0.035
Section-1,22,-22.15418091,10.66889123,0.0,FHNode021,Section-1_Node_22,0.25,0.035
Section-1,23,-23.34628716,7.75150139,0.0,FHNode022,Section-1_Node_23,0.25,0.035
Section-1,24,-24.15587038,4.70435533,0.0,FHNode023,Section-1_Node_24,0.25,0.035
Section-1,25,-24.56931374,1.57740228,0.0,FHNode024,Section-1_Node_25,0.25,0.035
Section-1,26,-24.57949685,-1.57805606,0.0,FHNode025,Section-1_Node_26,0.25,0.035
Section-1,27,-24.18591811,-4.71020713,0.0,FHNode026,Section-1_Node_27,0.25,0.035
Section-1,28,-23.39470838,-7.76757834,0.0,FHNode027,Section-1_Node_28,0.25,0.035
Section-1,29,-22.21853583,-10.69988292,0.0,FHNode028,Section-1_Node_29,0.25,0.035
Section-1,30,-20.67640322,-13.45884701,0.0,FHNode029,Section-1_Node_30,0.25,0.035
Section-1,31,-18.79334094,-15.9990044,0.0,FHNode030,Section-1_Node_31,0.25,0.035
Section-1,32,-16.60000081,-18.27844575,0.0,FHNode031,Section-1_Node_32,0.25,0.035
Section-1,33,-14.13215719,-20.25951005,0.0,FHNode032,Section-1_Node_33,0.25,0.035
Section-1,34,-11.43012351,-21.90940684,0.0,FHNode033,Section-1_Node_34,0.25,0.035
Section-1,35,-8.53809373,-23.20075887,0.0,FHNode034,Section-1_Node_35,0.25,0.035
Section-1,36,-5.50341953,-24.1120564,0.0,FHNode035,Section-1_Node_36,0.25,0.035
Section-1,37,-2.37583502,-24.62801535,0.0,FHNode036,Section-1_Node_37,0.25,0.035
Section-1,38,0.79335831,-24.73983356,0.0,FHNode037,Section-1_Node_38,0.25,0.035
Section-1,39,3.95213312,-24.44534074,0.0,FHNode038,Section-1_Node_39,0.25,0.035
Section-1,40,7.04859029,-23.74903959,0.0,FHNode039,Section-1_Node_40,0.25,0.035
Section-1,41,10.03181168,-22.66203733,0.0,FHNode040,Section-1_Node_41,0.25,0.035
Section-1,42,12.85269738,-21.20186866,0.0,FHNode041,Section-1_Node_42,0.25,0.035
Section-1,43,15.46477384,-19.39221302,0.0,FHNode042,Section-1_Node_43,0.25,0.035
Section-1,44,17.82495951,-17.26251064,0.0,FHNode043,Section-1_Node_44,0.25,0.035
Section-1,45,19.89427539,-14.8474836,0.0,FHNode044,Section-1_Node_45,0.25,0.035
Section-1,46,21.63848874,-12.18656982,0.0,FHNode045,Section-1_Node_46,0.25,0.035
Section-1,47,23.02867934,-9.32327898,0.0,FHNode046,Section-1_Node_47,0.25,0.035
Section-1,48,24.04171901,-6.30448115,0.0,FHNode047,Section-1_Node_48,0.25,0.035
Section-1,49,24.66065629,-3.17963953,0.0,FHNode048,Section-1_Node_49,0.25,0.035
Section-1,50,24.875,-0.0,0.0,FHNode049,Section-1_Node_50,0.25,0.035
Section-2,1,24.875,0.0,1.0,FHNode050,Section-2_Node_1,0.25,0.035
Section-2,2,24.66065629,3.17963953,1.0,FHNode051,Section-2_Node_2,0.25,0.035
Section-2,3,24.04171901,6.30448115,1.0,FHNode052,Section-2_Node_3,0.25,0.035
Section-2,4,23.02867934,9.32327898,1.0,FHNode053,Section-2_Node_4,0.25,0.035
Section-2,5,21.63848874,12.18656982,1.0,FHNode054,Section-2_Node_5,0.25,0.035
Section-2,6,19.89427539,14.8474836,1.0,FHNode055,Section-2_Node_6,0.25,0.035
Section-2,7,17.82495951,17.26251064,1.0,FHNode056,Section-2_Node_7,0.25,0.035
Section-2,8,15.46477384,19.39221302,1.0,FHNode057,Section-2_Node_8,0.25,0.035
Section-2,9,12.85269738,21.20186866,1.0,FHNode058,Section-2_Node_9,0.25,0.035
Section-2,10,10.03181168,22.66203733,1.0,FHNode059,Section-2_Node_10,0.25,0.035
Section-2,11,7.04859029,23.74903959,1.0,FHNode060,Section-2_Node_11,0.25,0.035
Section-2,12,3.95213312,24.44534074,1.0,FHNode061,Section-2_Node_12,0.25,0.035
Section-2,13,0.79335831,24.73983356,1.0,FHNode062,Section-2_Node_13,0.25,0.035
Section-2,14,-2.37583502,24.62801535,1.0,FHNode063,Section-2_Node_14,0.25,0.035
Section-2,15,-5.50341953,24.1120564,1.0,FHNode064,Section-2_Node_15,0.25,0.035
Section-2,16,-8.53809373,23.20075887,1.0,FHNode065,Section-2_Node_16,0.25,0.035
Section-2,17,-11.43012351,21.90940684,1.0,FHNode066,Section-2_Node_17,0.25,0.035
Section-2,18,-14.13215719,20.25951005,1.0,FHNode067,Section-2_Node_18,0.25,0.035
Section-2,19,-16.60000081,18.27844575,1.0,FHNode068,Section-2_Node_19,0.25,0.035
Section-2,20,-18.79334094,15.9990044,1.0,FHNode069,Section-2_Node_20,0.25,0.035
Section-2,21,-20.67640322,13.45884701,1.0,FHNode070,Section-2_Node_21,0.25,0.035
Section-2,22,-22.21853583,10.69988292,1.0,FHNode071,Section-2_Node_22,0.25,0.035
Section-2,23,-23.39470838,7.76757834,1.0,FHNode072,Section-2_Node_23,0.25,0.035
Section-2,24,-24.18591811,4.71020713,1.0,FHNode073,Section-2_Node_24,0.25,0.035
Section-2,25,-24.57949685,1.57805606,1.0,FHNode074,Section-2_Node_25,0.25,0.035
Section-2,26,-24.56931374,-1.57740228,1.0,FHNode075,Section-2_Node_26,0.25,0.035
Section-2,27,-24.15587038,-4.70435533,1.0,FHNode076,Section-2_Node_27,0.25,0.035
Section-2,28,-23.34628716,-7.75150139,1.0,FHNode077,Section-2_Node_28,0.25,0.035
Section-2,29,-22.15418091,-10.66889123,1.0,FHNode078,Section-2_Node_29,0.25,0.035
Section-2,30,-20.59943595,-13.40874687,1.0,FHNode079,Section-2_Node_30,0.25,0.035
Section-2,31,-18.70787251,-15.92624407,1.0,FHNode080,Section-2_Node_31,0.25,0.035
Section-2,32,-16.51081804,-18.18024561,1.0,FHNode081,Section-2_Node_32,0.25,0.035
Section-2,33,-14.04458832,-20.13397348,1.0,FHNode082,Section-2_Node_33,0.25,0.035
Section-2,34,-11.34988728,-21.755609,1.0,FHNode083,Section-2_Node_34,0.25,0.035
Section-2,35,-8.4711352,-23.01881091,1.0,FHNode084,Section-2_Node_35,0.25,0.035
Section-2,36,-5.45573647,-23.90314328,1.0,FHNode085,Section-2_Node_36,0.25,0.035
